Fund Account Number,Fund Name,Price,Shares,Total Value,
0584-12345678,Vanguard Total Bond Market Index Fund Admiral Shares,9.49,10,94.90,
5119-12345678,Vanguard Inflation-Protected Securities Fund Admiral Shares,23.26,10,232.60,
0571-12345678,Vanguard Intermediate-Term Investment-Grade Fund Admiral Shares,8.34,10,83.40,
0066-12345678,Vanguard Cash Reserves Federal Money Market Fund Admiral Shares,1.0,10,10,
0570-12345678,Vanguard FTSE All-World ex-US Index Fund Admiral Shares,32.75,10,Total 327.50,

0585-87654321,Vanguard Total Stock Market Index Fund Admiral Shares,97.67,10,976.70,
5100-87654321,Vanguard California Intermediate-Term Tax-Exempt Fund Admiral Shares,11.15,10,111.50,
5307-87654321,Vanguard Large-Cap Index Fund Admiral Shares,91.93,10,919.30,


Account Number,Trade Date,Process Date,Transaction Type,Transaction Description,Investment Name,Share Price,Shares,Gross Amount,Net Amount,
Account Number,2023-01-31,2023-01-31,Dividend Received,INCOME DIVIDEND,Total Bond Mkt Index Adm,9.76,Shares,Gross Amount,Net Amount,
Account Number,2023-02-06,2023-02-06,Buy,AUTOMATIC INVESTMENT,FTSE All World ex-US Adm,33.37,,Shares,Gross Amount,Net Amount,
Account Number,2023-01-31,2023-01-31,Buy,DIVIDEND FROM CA IT Adm,Total Stock Mkt Idx Adm,99.52,,Shares,Gross Amount,Net Amount,
Account Number,2023-01-31,2023-01-31,Dividend Received,DIVIDEND TO Ttl Ix Adm,CA IT Tax-Exempt Admiral,0.0,0.0,Gross Amount,Net Amount,
