CLARK INSURANCE | ME | PORTLAND | 010046400
FRANKLIN SAVINGS BANK | ME | FARMINGTON | 010072660
PIERCE ATWOOD LLP | ME | PORTLAND | 010190452
JOHN HANCOCK LIFE INSURANCE COMPANY (U.S.A.) | MA | BOSTON | 010233346
DRUMMOND WOODSUM & MACMAHON PA | ME | PORTLAND | 010351512
BERNSTEIN SHUR SAWYER & NELSON P.A. | ME | PORTLAND | 010378211
PORTLAND AIR FREIGHT, INC. | ME | SCARBOROUGH | 010384794
PRETI, FLAHERTY, BELIVEAU & PACHIOS, LLP | ME | PORTLAND | 010502585
SPECTRUM HEALTHCARE PARTNERS, P.A. | ME | SOUTH PORTLAND | 010510040
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 010551693
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 010595658
PLANT/ALLISON CORPORATION | CA | SAN FRANCISCO | 010611050
FUND EVALUATION GROUP, LLC | OH | CINCINNATI | 010694771
STATE STREET BANK & TRUST COMPANY | MA | QUINCY | 010719298
KAANAPALI LAND LLC | IL | CHICAGO | 010731997
GMO MULTI-STRATEGY FUND (ONSHORE) | MA | BOSTON | 010745810
PEN TR NU EMPLOYEES PEERLESS IMPORTERS INC AND AFFILIATES | NY | BROOKLYN | 010826074
CLEARBRIDGE INVESTMENTS, LLC | NY | NEW YORK | 010846058
CORPTAX, INC. | IL | BUFFALO GROVE | 010868383
T. ROWE PRICE TRUST COMPANY | MD | BALTIMORE | 010970991
STATE STREET BANK & TRUST COMPANY | MA | QUINCY | 016231432
TRUSTEES OF DARTMOUTH COLLEGE | NH | HANOVER | 020222111
HYPERTHERM, INC. | NH | HANOVER | 020274267
CONCORD ORTHOPAEDICS PROFESSIONAL ASSOCIATION | NH | CONCORD | 020314423
SHEEHAN PHINNEY BASS & GREEN PA | NH | MANCHESTER | 020315777
MCLANE MIDDLETON, PROFESSIONAL ASSOCIATION | NH | MANCHESTER | 020325043
NEW HAMPSHIRE ONCOLOGY-HEMATOLOGY, PROF. ASSN. | NH | HOOKSETT | 020335060
DEVINE, MILLIMET & BRANCH | NH | MANCHESTER | 020336151
UNITIL SERVICE CORP. | NH | HAMPTON | 020383661
CONGOLEUM CORPORATION | NJ | MERCERVILLE | 020398678
PRIME BUCHHOLZ LLC | NH | PORTSMOUTH | 020426421
DWS TRUST COMPANY | MA | BOSTON | 020432775
LACONIA CLINIC | NH | LACONIA | 020460192
MANROLAND GOSS WEB SYSTEMS AMERICAS LLC | NH | EXETER | 020468661
EXETER TRUST COMPANY | NY | FAIRPORT | 020476209
CHEMTRADE DELAWARE INC | NJ | PARSIPPANY | 020505547
IR&M CORE BOND FUND LLC | MA | BOSTON | 020552970
RESEARCH AFFILIATES, LLC | CA | NEWPORT BEACH | 020570299
BENEFITS CMTE OF THE NTL HOCKEY LEAGUE PLYRS 401(K) SAV | NY | NEW YORK | 020585221
WELLINGTON TRUST COMPANY, NA | MA | BOSTON | 020586111
CONSOLIDATED COMMUNICATIONS, INC. | TX | CONROE | 020636475
ARIEL INVESTMENTS, LLC | IL | CHICAGO | 020712418
UBS ASSET MANAGEMENT TRUST COMPANY | IL | CHICAGO | 026135654
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 026138231
GREEN MOUNTAIN POWER CORPORATION | VT | COCHESTER | 030127430
NATIONAL LIFE INSURANCE COMPANY | VT | MONTPELIER | 030144090
UNION MUTUAL FIRE INSURANCE COMPANY | VT | MONTPELIER | 030163640
VERMONT MUTUAL INSURANCE COMPANY | VT | MONTPELIER | 030164650
THE UNIVERSITY OF VERMONT HEALTH NETWORK - HOME HEALTH & HOSPICE INC. | VT | COLCHESTER | 030179603
VERMONT ELECTRIC POWER COMPANY, INC. | VT | RUTLAND | 030195580
NEW ENGLAND FEDERAL CREDIT UNION | VT | WILLISTON | 030213411
VERMONT INFORMATION PROCESSING, INC. | VT | COLCHESTER | 030231253
DOWNS RACHLIN & MARTIN PLLC | VT | ST. JOHNSBURY | 030253168
OMYA INDUSTRIES INC. | OH | MASON | 030266556
NLV FINANCIAL CORPORATION | VT | MONTPELIER | 030359222
THE BANK OF NEW YORK MELLON | PA | PITTSBURGH | 030374858
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 030382077
SYMBIO, LLC. | NY | PORT JEFFERSON | 030415343
HARBOURVEST PARTNERS VII-VENTURE HOLDING FUND L.P. | MA | BOSTON | 030438209
VILLAGE FAMILY PRACTICE LLP | TX | HOUSTON | 030494804
PMI GLOBAL SERVICES INC. | CT | STAMFORD | 030494952
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 030511227
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 030511246
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 030511250
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 030511251
MERCER TRUST COMPANY LLC | MA | BOSTON | 030566610
MERCER TRUST COMPANY LLC | MA | BOSTON | 030566611
MERCER TRUST COMPANY LLC | MA | BOSTON | 030566612
MERCER TRUST COMPANY LLC | MA | BOSTON | 030566613
MERCER TRUST COMPANY LLC | MA | BOSTON | 030566615
MERCER TRUST COMPANY LLC | MA | BOSTON | 030566617
GWLRA US TRUST COMPANY, LLC | CO | DENVER | 036082152
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 040025081
CONAGRA BRANDS, INC. | IL | CHICAGO | 040248710
BEMIS ASSOCIATES, INC | MA | SHIRLEY | 041078880
SHAWS SUPERMARKETS INC | ID | BOISE | 041123420
HORIZON BEVERAGE COMPANY | MA | NORTON | 041123650
CHOATE, HALL & STEWART LLP | MA | BOSTON | 041175860
